bootstrap,ARI
1,0.9354561574711411
2,0.9408377650194931
3,0.753289950007933
4,0.9836765364848534
5,0.7627534050820243
6,0.8783950447970471
7,0.7890102343361013
8,0.9196293281278445
9,0.9250469105246323
10,0.951336296081055
11,0.9728501955487843
12,0.9620461749108103
13,0.8481829885076895
14,0.7528980267002934
15,0.9621950115909887
16,0.9303246070691102
17,0.9728851468985144
18,0.9728158513059816
19,0.7397418550189705
20,0.9094082522180603
