feature,mean_cluster0,mean_cluster1,difference_cluster1_minus_cluster0,cohens_d,abs_cohens_d,p_value,q_value
PE_map_Autocorrelation_tumor,-0.14765440611256692,0.2575163154225127,0.4051707215350796,0.4126522886829523,0.4126522886829523,6.195937352582618e-08,1.166423793422137e-07
WashinRate_map_difference_entropy_tissue_PostCon,0.14668853235051874,-0.2558317855875129,-0.40252031793803167,-0.4098473350503389,0.4098473350503389,3.233597864863201e-08,6.242968140557056e-08
SER_Washout_tissue_vol_cu_mm_PostCon,-0.14631306465172447,0.2551769520414003,0.4014900166931248,0.4087575388484783,0.4087575388484783,1.0003515705091577e-07,1.837451322219946e-07
WashinRate_map_Sum_of_Squares_variance_tumor,-0.14583861859663225,0.25434949552865005,0.4001881141252823,0.4073809228183641,0.4073809228183641,3.2461261729353657e-09,6.787354725228492e-09
Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,0.14447723415362815,-0.25197517623222154,-0.39645241038584966,-0.4034337006652379,0.4034337006652379,2.379918011449508e-08,4.6628764002103326e-08
PE_map_std_dev_tumor,0.14445470927148707,-0.25193589176515296,-0.39639060103664003,-0.4033684271860719,0.4033684271860719,1.6130431703695676e-13,4.162438229880494e-13
Inv_diff_moment_normalized_Tumor,0.14396841304532057,-0.2510877679897646,-0.3950561810350852,-0.4019594999203105,0.4019594999203105,1.0495686162895491e-07,1.9211826921009395e-07
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_2,0.1434080430885844,-0.2501104561009235,-0.3935184991895079,-0.4003366254504403,0.4003366254504403,4.9052522779315835e-11,1.1532793133448033e-10
Mean_norm_DHOG_max_timepoint_binsize_4_with_filling_Tumor,0.14315154633204574,-0.2496631135433875,-0.39281465987543324,-0.39959402739148564,0.39959402739148564,7.479744671138875e-08,1.3981572194461006e-07
Mean_norm_DHOG_max_timepoint_binsize_10_without_filling_Tumor,0.14311506526568046,-0.24959948882645713,-0.3927145540921376,-0.3994884210464381,0.3994884210464381,6.43656302349707e-08,1.2074261841950178e-07
