Condition,Mean_ARI,SD_ARI,ARI_vs_raw
Raw,0.8931389868850663,0.08379542099039683,1.0
Residualized,0.918669413210264,0.04694636432212126,0.05648513065085139
ComBat,0.9029071576839971,0.05762285144667898,0.06498807414826507
